RU;91;1420;TransparentCalls;0.88;971;60;47
US;41;307;E-Voice;0.84;286;67;15
GB;6;1541;TransparentCalls;0.96;63;81;43
FR;26;831;TransparentCalls;0.61;821;23;23
BL;35;1613;E-Voice;0.80;888;6;24
AT;16;1232;TransparentCalls;0.90;402;58;15
BG;22;1790;E-Voice;0.80;555;26;30
DK;9;474;JustPhone;0.71;396;58;54
CA;37;1799;JustPhone;0.68;884;1;31
ES;60;773;E-Voice;0.71;235;32;19
H46;414;JustPhone;0.69;832;86;35
TR;4;233;TransparentCalls;0.61;306;22;45
PE;23;1583;JustPhone;0.96;678;49;36
NZ;50;1041;JustPhone;0.83;143;50;34
MC;95;1882;E-Voice;0.71;696;42;35
